group,subgroup,value
Personal Care,2019,8.67
Personal Care,2022,8.79
Household Activities,2019,0.84
Household Activities,2022,0.85
Care for Household Members,2019,0.36
Care for Household Members,2022,0.33
Care for Non-Household Members,2019,0.10
Care for Non-Household Members,2022,0.07
Work and Work-Related,2019,8.71
Work and Work-Related,2022,8.53
Education,2019,0.11
Education,2022,0.17
Shopping,2019,0.38
Shopping,2022,0.39
Eating/Drinking,2019,1.12
Eating/Drinking,2022,1.17
Leisure and Sports,2019,3.30
Leisure and Sports,2022,3.36
Civic/Religious,2019,0.14
Civic/Religious,2022,0.13
Communication,2019,0.08
Communication,2022,0.08
Other,2019,0.18
Other,2022,0.14
